City Name,Latitude,Longitude
New Delhi,28.6139,77.2090
Mumbai,19.0760,72.8777
Kolkata,22.5726,88.3639
Chennai,13.0827,80.2707
Bengaluru,12.9716,77.5946
Hyderabad,17.3850,78.4867
Ahmedabad,23.0225,72.5714
Jaipur,26.9124,75.7873
Pune,18.5204,73.8567
Surat,21.1702,72.8311
Lucknow,26.8467,80.9462
Kanpur,26.4499,80.3319
Nagpur,21.1458,79.0882
Indore,22.7196,75.8577
Bhopal,23.2599,77.4126
Patna,25.5941,85.1376
Ranchi,23.3441,85.3096
Raipur,21.2514,81.6296
Thiruvananthapuram,8.5241,76.9366
Kochi,9.9312,76.2673
Goa,15.2993,74.1240
Shimla,31.1048,77.1734
Manali,32.2396,77.1887
Darjeeling,27.0360,88.2627
Amritsar,31.6340,74.8723
Agra,27.1767,78.0081
Varanasi,25.3176,82.9739
Rishikesh,30.0869,78.2676
Leh,34.1526,77.5771
Udaipur,24.5854,73.7125